,latitude,longitude,canonical_name,cluster_label
179,51.4942,-0.2368,"Ravenscourt Park Station, Hammersmith",4
173,51.4926,-0.2341,"Hammersmith Town Hall, Hammersmith",4
149,51.4921,-0.2291,"Bridge Avenue, Hammersmith",4
772,51.4945,-0.2282,"Southerton Road, Hammersmith",4
171,51.4881,-0.2266,"Crisp Road, Hammersmith",4
134,51.5148,-0.2258,"BBC White City, White City",26
566,51.5061,-0.2242,"Westfield Library Corner, Shepherd's Bush",26
328,51.5092,-0.2241,"Westfield Ariel Way, White City",26
21,51.4837,-0.2239,"Rainville Road, Hammersmith",4
683,51.4967,-0.2239,"Little Brook Green, Brook Green",4
17,51.4857,-0.2236,"Manbre Road, Hammersmith",4
479,51.4881,-0.2225,"Beryl Road, Hammersmith",4
858,51.5016,-0.2223,"Shepherd's Bush Road North, Shepherd's Bush",26
345,51.4997,-0.2218,"Blythe Road West, Shepherd's Bush",26
139,51.4933,-0.2199,"Hammersmith Road, Hammersmith",4
374,51.5094,-0.2197,"Westfield Eastern Access Road, Shepherd's Bush",26
863,51.513,-0.2195,"Freston Road, Avondale",26
534,51.4829,-0.2193,"Crabtree Lane, Fulham",4
714,51.5078,-0.2187,"Westfield Wood Lane, White City (REMOVED)",26
859,51.5063,-0.2183,"Westfield Southern Terrace ,Shepherd's Bush",26
743,51.5115,-0.2182,"Evesham Street, Avondale",26
644,51.4873,-0.218,"Charing Cross Hospital, Hammersmith",4
820,51.5004,-0.2175,"Richmond Way, Shepherd's Bush",26
112,51.504,-0.2174,"Woodstock Grove, Shepherd's Bush",26
405,51.4669,-0.2166,"Putney Pier, Wandsworth",16
9,51.4911,-0.2165,"Colet Gardens, Hammersmith",4
539,51.4607,-0.2165,"Putney Rail Station, Putney",16
817,51.4834,-0.2163,"Everington Street, Fulham",4
605,51.5066,-0.2161,"Queensdale Road, Shepherd's Bush",26
434,51.4616,-0.2161,"Disraeli Road, Putney",16
494,51.5092,-0.216,"Rifle Place, Avondale",26
100,51.4769,-0.2159,"Finlay Street, Fulham",4
837,51.4943,-0.2158,"Brook Green South, Brook Green",4
63,51.5038,-0.2158,"Hansard Mews, Holland Park",26
588,51.4648,-0.2156,"Felsham Road, Putney",16
397,51.4632,-0.2156,"Montserrat Road , Putney",16
72,51.4902,-0.2151,"Barons Court Station, West Kensington",4
114,51.473,-0.2148,"Bishop's Avenue, Fulham",16
824,51.5129,-0.2148,"Grenfell Road, Avondale",26
740,51.473,-0.2147,"Bishop's Avenue, Fulham",16
251,51.5109,-0.2146,"Sirdar Road, Avondale",26
176,51.4861,-0.2144,"Greyhound Road, Hammersmith",4
737,51.5169,-0.2139,"St. Mark's Road, North Kensington",26
236,51.4969,-0.2135,"Blythe Road, Olympia",26
794,51.4608,-0.2126,"Oxford Road, Putney",16
172,51.4597,-0.2121,"Upper Richmond Road, East Putney",16
586,51.4832,-0.2119,"Humbolt Road, Fulham",9
549,51.5132,-0.2116,"Clarendon Road, Avondale",26
830,51.4976,-0.2115,"Maclise Road, Olympia",26
620,51.4623,-0.2115,"Esmond Street, Putney",16
825,51.5101,-0.2114,"Walmer Road, Avondale",26
392,51.5001,-0.2113,"Russell Gardens, Holland Park",26
585,51.5042,-0.2109,"Addison Road, Holland Park",26
449,51.4688,-0.2103,"Putney Bridge Station, Fulham",16
593,51.481,-0.21,"Aintree Street, Fulham",9
351,51.4982,-0.2095,"Kensington Olympia Station, Olympia",26
741,51.4896,-0.2094,"Vereker Road North, West Kensington",9
413,51.491,-0.2091,"Gwendwr Road, West Kensington",9
390,51.5212,-0.2089,"Bevington Road West, North Kensington",10
703,51.5211,-0.2086,"Bevington Road West, North Kensington",10
84,51.5151,-0.2086,"Blenheim Crescent, Ladbroke Grove",10
678,51.5065,-0.2085,"Princedale Road , Holland Park",26
558,51.4789,-0.2085,"St. Peter's Terrace, Fulham",9
2,51.4961,-0.2082,"Olympia Way, Olympia",9
35,51.4735,-0.2078,"Fulham Park Road, Fulham",16
39,51.4711,-0.2078,"Elysium Place, Fulham",16
25,51.4676,-0.2068,"Ranelagh Gardens, Fulham",16
851,51.5201,-0.2063,"Bevington Road, North Kensington",10
751,51.462,-0.2062,"Putney Bridge Road, East Putney",16
838,51.4909,-0.206,"West Kensington Station, West Kensington",9
424,51.5014,-0.206,"Abbotsbury Road, Holland Park",26
231,51.4582,-0.206,"Manfred Road, East Putney",16
458,51.4757,-0.2059,"Chesilton Road, Fulham",16
450,51.5116,-0.2059,"Ladbroke Grove Central, Ladbroke Grove",10
477,51.5075,-0.2055,"Lansdowne Road, Ladbroke Grove",10
685,51.4872,-0.2053,"Star Road, West Kensington",9
410,51.4967,-0.2053,"Warwick Road, Olympia",9
559,51.4844,-0.2048,"Normand Park, Fulham",9
86,51.519,-0.2048,"All Saints' Road, Portobello",10
339,51.5096,-0.2047,"Lansdowne Walk, Ladbroke Grove",10
709,51.4701,-0.2046,"Hurlingham Park, Parsons Green",16
340,51.5007,-0.2028,"Ilchester Place, Kensington",10
630,51.4568,-0.2028,"Mexfield Road, East Putney",16
706,51.5163,-0.2026,"All Saints Church, Portobello",10
589,51.4836,-0.202,"Coomer Place, West Kensington",9
254,51.4751,-0.202,"Parsons Green Station, Parsons Green",16
836,51.5121,-0.2016,"Chepstow Villas, Notting Hill",10
185,51.5179,-0.201,"Westbourne Park Road, Portobello",10
12,51.4571,-0.2008,"Santos Road, Wandsworth",16
783,51.5205,-0.2008,"The Metropolitan, Portobello",10
66,51.5143,-0.2008,"Turquoise Island, Notting Hill",10
798,51.461,-0.2007,"Northfields, Wandsworth",16
733,51.5023,-0.2007,"Holland Park, Kensington",10
693,51.4728,-0.1998,"Parson's Green , Parson's Green",16
775,51.4684,-0.1991,"Broomhouse Lane, Parsons Green",16
750,51.5066,-0.199,"Campden Hill Road, Notting Hill",10
547,51.4607,-0.1987,"Osiers Road, Wandsworth",16
610,51.4937,-0.1983,"West Cromwell Road, Earl's Court",9
488,51.4839,-0.1976,"Halford Road, Fulham",9
336,51.4996,-0.1976,"Phillimore Gardens, Kensington",10
686,51.5111,-0.1975,"Pembridge Villas, Notting Hill",10
575,51.4974,-0.1972,"Abingdon Villas, Kensington",9
191,51.4738,-0.197,"Irene Road, Parsons Green",16
77,51.5094,-0.1964,"Notting Hill Gate Station, Notting Hill",10
569,51.469,-0.1963,"Peterborough Road, Sands End",16
235,51.4909,-0.1962,"Trebovir Road, Earl's Court",9
266,51.4795,-0.1958,"Erin Close, Walham Green",9
297,51.5004,-0.1955,"Argyll Road, Kensington",10
239,51.4548,-0.1952,"Neville Gill Close, Wandsworth",16
514,51.4933,-0.1948,"Nevern Place, Earl's Court",9
451,51.5019,-0.1944,"Kensington Town Hall, Kensington",10
723,51.4799,-0.1941,"Fulham Broadway, Walham Green",9
782,51.5086,-0.1938,"Palace Gardens Terrace, Notting Hill",10
602,51.5137,-0.1935,"Hereford Road, Bayswater",10
7,51.4671,-0.1935,"South Park, Sands End",16
121,51.4763,-0.1933,"Eel Brook Common, Walham Green",9
495,51.5004,-0.1931,"Wright's Lane, Kensington",10
669,51.5047,-0.1925,"Vicarage Gate, Kensington",10
416,51.4965,-0.1924,"Marloes Road, Kensington",1
647,51.4916,-0.1924,"Penywern Road, Earl's Court",9
749,51.4575,-0.1922,"Ram Street, Wandsworth",16
0,51.4959,-0.1919,"Lexham Gardens, Kensington",1
80,51.4736,-0.1918,"Sandilands Road, Walham Green",11
358,51.4611,-0.1917,"Smugglers Way, Wandsworth",16
275,51.5032,-0.1915,"Kensington Church Street, Kensington",10
272,51.5014,-0.1915,"Derry Street, Kensington",10
438,51.5135,-0.1914,"Princes Square, Bayswater",10
815,51.5124,-0.191,"Ilchester Gardens, Bayswater",10
136,51.4936,-0.1906,"Knaresborough Place, Earl's Court",1
526,51.4902,-0.1904,"Bramham Gardens, Earl's Court",1
237,51.4682,-0.1903,"Stephendale Road, Sands End",11
567,51.46,-0.1902,"Morie Street, Wandsworth",11
348,51.5155,-0.1902,"Westbourne Grove, Bayswater",10
354,51.4773,-0.1892,"Michael Road, Walham Green",11
777,51.5148,-0.1881,"Whiteley's, Bayswater",17
822,51.5179,-0.1881,"Gloucester Terrace, Bayswater",17
502,51.5099,-0.1878,"Black Lion Gate, Kensington Gardens",17
809,51.5103,-0.1874,"Queensway, Kensington Gardens",17
334,51.4609,-0.1874,"Wandsworth Town Station, Wandsworth",11
476,51.488,-0.1874,"Harcourt Terrace, West Brompton",1
463,51.4751,-0.1873,"Imperial Road, Sands End",11
512,51.5162,-0.187,"Bishop's Bridge Road West, Bayswater",17
812,51.4916,-0.1868,"Collingham Gardens, Earl's Court",1
580,51.4818,-0.1853,"Hortensia Road, West Brompton",1
101,51.4954,-0.1853,"Emperor's Gate, South Kensington",1
274,51.5017,-0.185,"De Vere Gardens, Kensington",1
631,51.458,-0.1848,"Alma Road, Wandsworth",11
700,51.502,-0.1844,"Palace Gate, Kensington Gardens",1
279,51.4688,-0.1843,"William Morris Way, Sands End",11
311,51.4809,-0.1839,"Thorndike Close, West Chelsea",1
113,51.4979,-0.1838,"Gloucester Road (North), Kensington",1
324,51.5233,-0.1838,"Warwick Avenue Station, Maida Vale",17
649,51.5171,-0.1838,"Bishop's Bridge Road East, Bayswater",17
624,51.5179,-0.1837,"Orsett Terrace, Bayswater",17
572,51.5299,-0.1835,"Maida Vale, Maida Vale",27
466,51.4965,-0.1833,"Gloucester Road (Central), South Kensington",1
370,51.4747,-0.1832,"Imperial Wharf Station, Sands End",11
540,51.5156,-0.1831,"Cleveland Gardens, Bayswater",17
726,51.4942,-0.1827,"Gloucester Road Station, South Kensington",1
376,51.4782,-0.1824,"Upcerne Road, West Chelsea",11
619,51.4635,-0.1821,"Usk Road, Battersea",11
116,51.4909,-0.1812,"Old Brompton Road, South Kensington",1
109,51.4856,-0.1812,"Limerston Street, Chelsea",1
233,51.4592,-0.1809,"Spanish Road, Clapham Junction",11
517,51.4619,-0.1808,"Nantes Close, Clapham Junction",11
333,51.4652,-0.1804,"Hibbert Street, Battersea",11
735,51.4818,-0.1803,"World's End Place, West Chelsea",1
786,51.501,-0.1802,"Queen's Gate (North), Kensington",1
482,51.5017,-0.1799,"Queen's Gate, Kensington Gardens",1
119,51.5135,-0.1798,"Devonshire Terrace, Bayswater",17
716,51.4994,-0.1797,"Imperial College, Knightsbridge",1
408,51.5117,-0.1797,"Lancaster Gate , Bayswater",17
695,51.5256,-0.1796,"Clifton Road, Maida Vale",27
426,51.4872,-0.1794,"Drayton Gardens, Chelsea",1
310,51.4956,-0.1791,"Natural History Museum, South Kensington",1
623,51.5164,-0.1791,"Eastbourne Mews, Paddington",17
616,51.4796,-0.179,"Lots Road, West Chelsea",11
474,51.5014,-0.1787,"Kensington Gore, Knightsbridge",1
223,51.494,-0.1787,"Queen's Gate (Central), South Kensington",1
650,51.4925,-0.1784,"Queen's Gate (South), South Kensington",1
247,51.5309,-0.1768,"Grove End Road, St. John's Wood",27
537,51.5186,-0.1766,"North Wharf Road, Paddington",17
98,51.4998,-0.1764,"Prince Consort Road, Knightsbridge",1
648,51.4729,-0.1763,"Vicarage Crescent, Battersea",11
546,51.5248,-0.1763,"Aberdeen Place, St John's Wood",27
286,51.5173,-0.1758,"South Wharf Road, Paddington",17
91,51.5168,-0.1755,"Winsland Street, Paddington",17
391,51.4623,-0.1754,"Plough Terrace, Clapham Junction",11
6,51.489,-0.1752,"South Parade, Chelsea",1
617,51.5234,-0.1751,"Frampton Street, Paddington",27
627,51.4851,-0.175,"The Vale, Chelsea",1
789,51.4579,-0.1747,"Spencer Park, Wandsworth Common",11
327,51.5273,-0.1747,"St. John's Wood Road, St. John's Wood",27
97,51.4644,-0.1746,"Grant Road West, Clapham Junction",11
689,51.4999,-0.1746,"Exhibition Road Museums 2, South Kensington",1
156,51.5202,-0.1746,"Paddington Green, Paddington",17
515,51.4692,-0.1745,"Fawcett Close, Battersea",11
105,51.5119,-0.1744,"Bayswater Road, Hyde Park",17
493,51.5118,-0.1743,"Bayswater Road, Hyde Park",17
34,51.477,-0.1743,"Battersea Church Road, Battersea",11
144,51.4944,-0.1739,"South Kensington Station, South Kensington",1
70,51.497,-0.1739,"Exhibition Road Museums 1, South Kensington",1
724,51.4647,-0.1737,"Grant Road Central, Clapham Junction",11
372,51.4959,-0.1737,"Exhibition Road, Knightsbridge",1
90,51.4912,-0.1737,"Sumner Place, South Kensington",1
684,51.5151,-0.1737,"London Street, Paddington",17
422,51.505,-0.1731,"Serpentine Car Park, Hyde Park",17
338,51.4649,-0.173,"Grant Road East, Clapham Junction",11
174,51.4959,-0.173,"Victoria & Albert Museum, South Kensington",1
484,51.505,-0.1727,"Serpentine Car Park, Hyde Park",17
432,51.533,-0.1725,"Wellington Road, St. John's Wood",27
470,51.4675,-0.1723,"Ingrave Street, Battersea",11
265,51.5264,-0.1722,"Lisson Grove, St. John's Wood",27
300,51.4967,-0.1721,"Victoria & Albert Museum, South Kensington",1
856,51.4826,-0.1721,"Danvers Street, West Chelsea",1
831,51.5229,-0.1717,"Penfold Street, Marylebone",27
175,51.5291,-0.1712,"Lord's, St. John's Wood",27
353,51.5183,-0.1711,"St Mary's Hospital, Paddington",17
680,51.4869,-0.171,"Manresa Road, Chelsea",1
212,51.4708,-0.1707,"Simpson Street, Battersea",11
796,51.5199,-0.1707,"Marylebone Flyover, Paddington",27
661,51.4777,-0.1703,"Westbridge Road, Battersea",11
79,51.5065,-0.1703,"Triangle Car Park, Hyde Park",17
651,51.4897,-0.1702,"St. Luke's Church, Chelsea",19
725,51.4745,-0.1702,"Orbel Street, Battersea",11
834,51.5283,-0.1701,"Lodge Road, St. John's Wood",27
214,51.4666,-0.1698,"Falcon Road, Clapham Junction",11
373,51.52,-0.1698,"Edgware Road Station, Marylebone",27
456,51.516,-0.1692,"Southwick Street, Paddington",17
344,51.4971,-0.1689,"Holy Trinity Brompton, Knightsbridge",19
141,51.5326,-0.1686,"Greenberry Street, St. John's Wood",27
283,51.4624,-0.1683,"St. John's Road, Clapham Junction",11
192,51.5301,-0.1683,"St. John's Wood Church, Regent's Park",27
216,51.5343,-0.1681,"Charlbert Street, St. John's Wood",27
208,51.4932,-0.1679,"Sloane Avenue, Knightsbridge",19
527,51.485,-0.1679,"Phene Street, Chelsea",19
500,51.5305,-0.1675,"St. John's Wood Church, The Regent's Park",27
433,51.4752,-0.1672,"Surrey Lane, Battersea",11
232,51.4603,-0.167,"Abyssinia Close, Clapham Junction",11
638,51.488,-0.1669,"Flood Street, Chelsea",19
802,51.4907,-0.1665,"Chelsea Green, Chelsea",19
154,51.5251,-0.1663,"Mallory Street, Marylebone",27
523,51.522,-0.1658,"Bell Street , Marylebone",27
277,51.5246,-0.1657,"Broadley Terrace, Marylebone",27
688,51.4989,-0.1655,"Montpelier Street, Knightsbridge",19
475,51.4619,-0.1653,"Limburg Road, Clapham Common",11
849,51.5147,-0.1652,"Porchester Place, Paddington",7
245,51.4936,-0.1651,"Denyer Street, Knightsbridge",19
264,51.4773,-0.1648,"Ethelburga Estate, Battersea Park",29
462,51.5165,-0.1644,"Nutford Place, Marylebone",7
452,51.5174,-0.1642,"Harrowby Street, Marylebone",7
417,51.5253,-0.1638,"Rossmore Road, Marylebone",27
314,51.4651,-0.1638,"Dorothy Road, Clapham Junction",29
791,51.5203,-0.1637,"Seymour Place, Marylebone",7
771,51.5181,-0.1636,"Shouldham Street, Marylebone",7
436,51.4744,-0.1633,"Albert Bridge Road, Battersea Park",29
296,51.4705,-0.163,"Sheepcote Lane, Battersea",29
696,51.4899,-0.1627,"Royal Avenue 1, Chelsea",19
427,51.4901,-0.1624,"Royal Avenue 2, Chelsea",19
227,51.5225,-0.1623,"Boston Place, Marylebone",7
536,51.5121,-0.1621,"Cumberland Gate, Hyde Park",7
447,51.488,-0.1618,"Ormonde Gate, Chelsea",19
355,51.4969,-0.1612,"Pont Street, Knightsbridge",19
204,51.5226,-0.1611,"Dorset Square, Marylebone",7
788,51.5359,-0.1609,"Prince Albert Road, Regent's Park",27
441,51.5122,-0.1608,"Speakers' Corner 2, Hyde Park",7
186,51.5123,-0.16,"Speakers' Corner 1, Hyde Park",7
329,51.4925,-0.1599,"Cadogan Gardens, Chelsea",19
132,51.5002,-0.1593,"Harriet Street, Knightsbridge",19
845,51.4613,-0.1593,"Clapham Common North Side, Clapham Common",29
828,51.5019,-0.1592,"Seville Street, Knightsbridge",19
68,51.4752,-0.1592,"Prince of Wales Drive, Battersea Park",29
33,51.5245,-0.159,"Park Road (Baker Street), Regent's Park",7
319,51.503,-0.1585,"Albert Gate, Hyde Park",19
357,51.5146,-0.1583,"Old Quebec Street, Marylebone",7
699,51.5169,-0.1583,"George Place Mews, Marylebone",7
805,51.5169,-0.1582,"George Place Mews, Marylebone",7
342,51.4688,-0.1582,"Holden Street, Battersea",29
705,51.4946,-0.1581,"Cadogan Place, Knightsbridge",19
531,51.4711,-0.1579,"Culvert Road, Battersea",29
804,51.4651,-0.1578,"Sugden Road, Battersea",29
400,51.5123,-0.1574,"Green Street, Mayfair",7
829,51.51,-0.1573,"Park Lane , Hyde Park",7
677,51.5203,-0.1572,"Crawford Street, Marylebone",7
83,51.4931,-0.1569,"Sedding Street, Sloane Square",19
430,51.5358,-0.1563,"London Zoo,  The Regent's Park",25
332,51.5189,-0.1562,"Baker Street, Marylebone",7
181,51.5101,-0.1558,"Upper Grosvenor Street, Mayfair",7
645,51.5162,-0.1555,"Portman Square, Marylebone",7
841,51.4744,-0.1554,"Austin Road, Battersea",29
785,51.5028,-0.1553,"Knightsbridge, Hyde Park",19
801,51.5225,-0.1549,"Westminster University, Marylebone",7
490,51.5206,-0.1547,"Paddington Street, Marylebone",7
371,51.5177,-0.1541,"George Street, Marylebone",7
209,51.4946,-0.1539,"Eaton Square (South), Belgravia",19
337,51.5129,-0.1536,"North Audley Street, Mayfair",7
379,51.5031,-0.1535,"Hyde Park Corner, Hyde Park",28
317,51.5254,-0.1535,"The Tennis Courts, Regent's Park",7
301,51.491,-0.1532,"Bourne Street, Belgravia",19
38,51.5014,-0.1532,"Grosvenor Crescent, Belgravia",19
10,51.4994,-0.1523,"Belgrave Square, Belgravia",19
107,51.4672,-0.1522,"Ashley Crescent, Battersea",29
167,51.4705,-0.1521,"Stanley Grove, Battersea",29
544,51.5168,-0.1519,"Hinde Street, Marylebone",7
16,51.522,-0.1514,"Beaumont Street, Marylebone",7
542,51.5092,-0.1513,"South Audley Street, Mayfair",28
146,51.5109,-0.1511,"Millennium Hotel, Mayfair",28
44,51.4751,-0.1509,"Alfreda Street, Battersea Park",29
54,51.4965,-0.1509,"Eaton Square, Belgravia",19
108,51.5054,-0.1508,"Park Lane, Mayfair",28
93,51.5069,-0.1507,"Stanhope Gate, Mayfair",28
46,51.5122,-0.1505,"Grosvenor Square, Mayfair",28
284,51.5369,-0.1502,"London Zoo Car Park, Regent's Park",25
460,51.5027,-0.1496,"Wellington Arch, Hyde Park",28
118,51.4776,-0.1496,"Queen's Circus, Battersea Park",29
533,51.4905,-0.1492,"Ebury Bridge, Pimlico",6
662,51.4811,-0.149,"Sopwith Way, Battersea Park",29
712,51.4858,-0.149,"Chelsea Bridge, Pimlico",6
302,51.5148,-0.1481,"Marylebone Lane, Marylebone",28
99,51.4729,-0.1481,"Silverthorne Road, Battersea",29
147,51.5192,-0.148,"New Cavendish Street, Marylebone",28
420,51.478,-0.1479,"Gas Holders, Battersea Park",29
861,51.4614,-0.1478,"Victoria Rise, Clapham Common",29
389,51.4835,-0.1477,"Battersea Power Station, Battersea Park",6
497,51.494,-0.1476,"Eccleston Place, Victoria",6
674,51.4924,-0.1475,"Elizabeth Bridge, Victoria",6
187,51.5094,-0.1475,"Farm Street, Mayfair",28
698,51.5094,-0.1474,"Farm Street, Mayfair",28
761,51.5141,-0.1473,"Woodstock Street, Mayfair",28
687,51.5153,-0.1472,"Chapel Place, Marylebone",28
446,51.5373,-0.1472,"Gloucester Avenue, Camden Town",25
8,51.4687,-0.1465,"Heath Road, Battersea",29
15,51.5071,-0.1459,"Curzon Street, Mayfair",28
640,51.5073,-0.1458,"Clarges Street, Mayfair",28
352,51.5421,-0.1454,"Castlehaven Road, Camden Town",25
321,51.5207,-0.1452,"Portland Place, Marylebone",28
162,51.54,-0.1452,"Arlington Road, Camden Town",25
667,51.5381,-0.1447,"Parkway, Camden Town",25
595,51.4782,-0.1447,"Bradmead, Battersea Park",29
419,51.5283,-0.1445,"Albany Street, Regent's Park",25
143,51.5181,-0.1442,"Broadcasting House, Marylebone",28
574,51.5107,-0.1442,"Bruton Street, Mayfair",28
323,51.4932,-0.1441,"Belgrave Road, Victoria",6
653,51.5256,-0.1441,"Longford Street, Regent's Park",25
165,51.498,-0.1438,"Royal Mews, Victoria",6
573,51.5235,-0.1436,"Bolsover Street, Fitzrovia",25
507,51.51,-0.1435,"Grafton Street, Mayfair",28
331,51.541,-0.1433,"Hawley Crescent, Camden Town",25
792,51.498,-0.143,"Cardinal Place, Victoria",6
506,51.4969,-0.143,"Allington Street, Victoria",6
590,51.4969,-0.1429,"Allington Street, Victoria",6
717,51.512,-0.1428,"St. George Street, Mayfair",28
55,51.5066,-0.1428,"Green Park Station, Mayfair",28
437,51.5107,-0.1423,"Clifford Street, Mayfair",28
365,51.4854,-0.1422,"Grosvenor Road, Pimlico",6
742,51.4977,-0.1419,"Cardinal Place, Victoria",6
473,51.4899,-0.1419,"Warwick Square, Pimlico",6
205,51.4795,-0.1418,"Battersea Park Road, Nine Elms",6
368,51.4693,-0.1418,"Wandsworth Rd, Isley Court, Wandsworth Road",29
442,51.5391,-0.1417,"Greenland Road, Camden Town",25
315,51.5145,-0.1414,"Little Argyll Street, West End",28
694,51.5203,-0.1413,"Great Titchfield Street, Fitzrovia",24
61,51.4923,-0.1413,"Guildhouse Street, Victoria",6
263,51.4962,-0.1409,"Ashley Place, Victoria",6
548,51.4881,-0.1407,"Alderney Street, Pimlico",6
776,51.5192,-0.1405,"Foley Street, Fitzrovia",24
485,51.4936,-0.14,"Queen Mother Sports Centre, Victoria",6
642,51.491,-0.1396,"Gloucester Street, Pimlico",6
412,51.5334,-0.1392,"Harrington Square 2, Camden Town",25
739,51.4614,-0.1392,"Clapham Common Station, Clapham Common",29
565,51.533,-0.1392,"Harrington Square 1, Camden Town",25
609,51.521,-0.139,"Howland Street, Fitzrovia",24
135,51.5416,-0.1389,"Bonny Street, Camden Town",25
325,51.51,-0.1388,"Sackville Street, Mayfair",28
625,51.5301,-0.1388,"Hampstead Road (Cartmel), Euston",25
597,51.4773,-0.1387,"Thessaly Road North, Wandsworth Road",6
252,51.4968,-0.1387,"Howick Place, Westminster",6
57,51.5388,-0.1385,"St Martin's Close, Camden Town",25
257,51.4921,-0.1384,"Tachbrook Street, Victoria",6
393,51.5255,-0.1382,"Hampstead Road, Euston",25
309,51.4813,-0.1382,"Riverlight South, Nine Elms",6
516,51.5173,-0.1381,"Wells Street, Fitzrovia",24
443,51.4848,-0.1381,"Claverton Street, Pimlico",6
52,51.5244,-0.138,"Warren Street Station, Euston",24
271,51.4766,-0.1379,"Thessaly Road North, Nine Elms",6
253,51.5146,-0.1378,"Great Marlborough Street, Soho",24
148,51.4977,-0.1376,"Kings Gate House, Westminster",6
721,51.4989,-0.1374,"Buckingham Gate, Westminster",6
522,51.4731,-0.1372,"Stewart's Road, Nine Elms",22
469,51.5119,-0.137,"Golden Square, Soho",24
633,51.494,-0.1369,"Vincent Square, Westminster",6
760,51.533,-0.1368,"Eversholt Street , Camden Town",25
153,51.5273,-0.1361,"Drummond Street , Euston",25
75,51.4824,-0.1361,"Riverlight North, Nine Elms",6
577,51.5199,-0.136,"Scala Street, Fitzrovia",24
652,51.5195,-0.1358,"Charlotte Street, Fitzrovia",24
765,51.5137,-0.1356,"Broadwick Street, Soho",24
525,51.4882,-0.1356,"St. George's Square, Pimlico",6
74,51.4958,-0.1355,"Rochester Row, Westminster",6
305,51.4978,-0.1354,"Butler Place, Westminster",6
757,51.5277,-0.1353,"Drummond Street , Euston",25
852,51.5252,-0.1352,"Gower Place , Euston",24
151,51.5182,-0.135,"Rathbone Street, Fitzrovia",24
150,51.5276,-0.1348,"Melton Street, Euston",25
193,51.5074,-0.1346,"St. James's Square, St. James's",24
67,51.5262,-0.1344,"Euston Road, Euston",24
681,51.4946,-0.1342,"Greycoat Street , Westminster",6
89,51.473,-0.134,"Union Grove, Wandsworth Road",22
639,51.5363,-0.134,"Royal College Street, Camden Town",25
690,51.5125,-0.1332,"Wardour Street, Soho",24
604,51.49,-0.1328,"Rampayne Street, Pimlico",6
198,51.5197,-0.1323,"Alfred Place, Bloomsbury",24
53,51.5288,-0.1323,"Doric Way , Somers Town",25
803,51.5156,-0.1323,"Soho Square , Soho",24
800,51.4921,-0.1322,"Regency Street, Westminster",6
808,51.5186,-0.1321,"Bayley Street , Bloomsbury",24
27,51.4981,-0.1321,"Abbey Orchard Street, Westminster",6
164,51.4729,-0.1321,"Courland Grove, Wandsworth Road",22
160,51.5196,-0.1321,"Store Street, Bloomsbury",24
123,51.5084,-0.132,"Charles II Street, West End",24
752,51.5271,-0.1319,"Euston Square Gardens, Euston",24
341,51.5066,-0.1318,"Waterloo Place, St. James's",24
138,51.5096,-0.1315,"Panton Street, West End",24
564,51.5251,-0.1312,"Taviton Street, Bloomsbury",24
729,51.5131,-0.1312,"Frith Street, Soho",24
492,51.465,-0.1309,"Gauden Road, Clapham",22
582,51.5078,-0.1307,"Pall Mall East, West End",24
