,latitude,longitude,canonical_name,cluster_label
184,51.5268,-0.1305,"Endsleigh Gardens, Euston",24
600,51.4948,-0.1305,"Horseferry Road, Westminster",6
844,51.5217,-0.1304,"Malet Street, Bloomsbury",24
168,51.5135,-0.1301,"Moor Street, Soho",24
421,51.4931,-0.1299,"Vincent Street, Pimlico",6
206,51.5091,-0.1297,"St. Martin's Street, West End",24
864,51.5007,-0.1297,"Storey's Gate, Westminster",6
806,51.5341,-0.1294,"Pancras Road, King's Cross",25
346,51.4884,-0.1294,"Vauxhall Bridge , Pimlico",6
704,51.5161,-0.1286,"Earnshaw Street , Covent Garden",24
608,51.5237,-0.1284,"Bedford Way, Bloomsbury",24
532,51.5293,-0.1283,"Ossulston Street, Somers Town",15
125,51.5177,-0.1279,"Great Russell Street, Bloomsbury",24
459,51.494,-0.1276,"John Islip Street, Westminster",12
562,51.4958,-0.1276,"Smith Square, Westminster",12
755,51.4707,-0.127,"Clarence Walk, Stockwell",22
51,51.4779,-0.1269,"Hartington Road, Stockwell",22
489,51.524,-0.1264,"Coram Street, Bloomsbury",24
178,51.5264,-0.126,"Cartwright Gardens , Bloomsbury",15
843,51.4976,-0.126,"Abingdon Green, Great College Street",12
556,51.5081,-0.126,"Craven Street, Strand",0
88,51.4919,-0.1257,"Millbank Tower, Pimlico",12
701,51.5416,-0.1254,"York Way, King's Cross",15
508,51.5347,-0.1251,"Good's Way, King's Cross",15
431,51.5372,-0.1248,"Handyside Street, King's Cross",15
161,51.5162,-0.1248,"High Holborn , Covent Garden",24
571,51.5095,-0.1247,"William IV Street, Strand",0
197,51.5191,-0.1247,"British Museum, Bloomsbury",24
626,51.4817,-0.1246,"South Lambeth Road, Vauxhall",12
259,51.4746,-0.1246,"Lansdowne Way Bus Garage, Stockwell",22
702,51.4859,-0.1245,"Vauxhall Cross, Vauxhall",12
398,51.5164,-0.1243,"High Holborn , Covent Garden",24
503,51.5234,-0.1241,"Russell Square Station, Bloomsbury",15
120,51.5015,-0.1238,"Westminster Pier, Westminster",0
415,51.5068,-0.1237,"Northumberland Avenue, Strand",0
14,51.4714,-0.1237,"Clapham Road, Lambeth",22
230,51.5299,-0.1236,"Belgrove Street , King's Cross",15
457,51.5263,-0.1235,"Tavistock Place, Bloomsbury",15
406,51.5175,-0.1234,"Bury Place, Holborn",24
69,51.4761,-0.1233,"Teversham Lane, Stockwell",22
692,51.5065,-0.1232,"Whitehall Place, Strand",0
220,51.5049,-0.1232,"Embankment (Horse Guards), Westminster",0
679,51.4904,-0.1228,"Albert Embankment, Vauxhall",12
202,51.4878,-0.1228,"New Spring Gardens Walk, Lambeth",12
20,51.4725,-0.1228,"Binfield Road, Stockwell",22
768,51.4735,-0.1226,"Stockwell Roundabout, Stockwell",22
762,51.4863,-0.1225,"Kennington Lane Rail Bridge, Vauxhall",12
152,51.524,-0.1225,"Brunswick Square, Bloomsbury",15
242,51.5302,-0.1223,"Birkenhead Street, King's Cross",15
225,51.5148,-0.1222,"Drury Lane, Covent Garden",0
660,51.5345,-0.1222,"Crinan Street, King's Cross",15
294,51.5107,-0.1217,"Southampton Street, Strand",0
207,51.4937,-0.1214,"Fire Brigade Pier, Vauxhall",12
115,51.5176,-0.1213,"Southampton Place, Holborn",0
634,51.5301,-0.121,"St. Chad's Street, King's Cross",15
377,51.5161,-0.1209,"Newton Street, Covent Garden",0
866,51.4881,-0.1209,"Vauxhall Walk, Vauxhall",12
480,51.512,-0.1207,"Tavistock Street, Covent Garden",0
243,51.5233,-0.1202,"Guilford Street , Bloomsbury",15
543,51.5118,-0.1196,"Wellington Street , Strand",0
157,51.5283,-0.1196,"Cromer Street, Bloomsbury",15
42,51.5311,-0.1193,"Northdown Street, King's Cross",15
40,51.5194,-0.1191,"Red Lion Square, Holborn",0
720,51.4692,-0.119,"Sidney Road, Stockwell",22
439,51.5096,-0.119,"Embankment (Savoy), Strand",0
401,51.5338,-0.1187,"Killick Street, King's Cross",15
26,51.5144,-0.1185,"Kingsway, Covent Garden",0
444,51.5163,-0.1183,"Lincoln's Inn Fields, Holborn",0
228,51.5273,-0.1183,"Ampton Street , Clerkenwell",15
62,51.4766,-0.1183,"Albert Square, Stockwell",22
583,51.4949,-0.118,"Lambeth Road, Vauxhall",12
369,51.5152,-0.1179,"Sardinia Street, Holborn",0
94,51.5139,-0.1178,"Kingsway Southbound, Strand",0
746,51.4827,-0.1177,"Ashmole Estate, Oval",12
587,51.5099,-0.1176,"Somerset House, Strand",0
96,51.4982,-0.1175,"Archbishop's Park, Waterloo",12
356,51.4866,-0.1173,"Oval Way, Vauxhall",12
1,51.5314,-0.1171,"Calshot Street , King's Cross",15
736,51.4909,-0.1169,"Black Prince Road, Vauxhall",12
196,51.5136,-0.1168,"Houghton Street, Strand",0
190,51.5027,-0.1167,"Chicheley Street, South Bank",0
375,51.5206,-0.1167,"Theobald's Road , Holborn",15
13,51.5001,-0.1166,"Lambeth Palace Road, Waterloo",0
671,51.487,-0.1166,"Vauxhall Street, Vauxhall",12
594,51.5182,-0.1166,"Red Lion Street, Holborn",0
188,51.5046,-0.1165,"Jubilee Gardens, South Bank",0
754,51.4778,-0.1165,"Caldwell Street, Stockwell",22
663,51.5246,-0.1163,"Wren Street, Holborn",15
36,51.5355,-0.1162,"Carnegie Street, King's Cross",15
668,51.5149,-0.1161,"Portugal Street, Holborn",0
732,51.4868,-0.1159,"Kennington Lane Tesco, Vauxhall",12
169,51.505,-0.1159,"Concert Hall Approach 1, South Bank",0
697,51.464,-0.1158,"Ferndale Road, Brixton",22
510,51.5289,-0.1155,"Great Percy Street, Clerkenwell",15
747,51.5049,-0.1155,"Concert Hall Approach 2, South Bank",0
335,51.4602,-0.1154,"Saltoun Road, Brixton",22
715,51.5125,-0.1152,"Strand, Strand",0
481,51.4895,-0.1152,"Sancroft Street, Vauxhall",12
454,51.5005,-0.1152,"Lambeth Palace Road, Waterloo",0
244,51.5158,-0.115,"Lincoln's Inn Fields, Holborn",0
129,51.4929,-0.1149,"Lollard Street, Vauxhall",12
713,51.5062,-0.1148,"Belvedere Road 2, South Bank",0
659,51.5061,-0.1147,"Belvedere Road 1, South Bank",0
499,51.4957,-0.1146,"Sail Street, Vauxhall",12
64,51.5318,-0.1143,"Rodney Street, Angel",15
501,51.5223,-0.1141,"Northington Street , Holborn",15
49,51.5117,-0.1139,"Arundel Street, Temple",0
318,51.5001,-0.1139,"Lower Marsh, Waterloo",0
394,51.504,-0.1139,"Waterloo Station 1, Waterloo",0
840,51.5054,-0.1137,"Waterloo Bridge, South Bank",0
578,51.5039,-0.1134,"Waterloo Station 2, Waterloo",0
666,51.4662,-0.1132,"St John's Crescent, Brixton",22
396,51.4831,-0.1131,"Kennington Oval, Oval",12
106,51.5049,-0.113,"Waterloo Road, South Bank",0
730,51.5121,-0.1129,"Milford Lane, Temple",0
133,51.5038,-0.1128,"Waterloo Station 3, Waterloo",0
102,51.515,-0.1128,"Carey Street, Holborn",0
496,51.5364,-0.1127,"Charlotte Terrace, Angel",15
779,51.4692,-0.1127,"Wynne Road, Stockwell",22
592,51.4739,-0.1126,"Normandy Road, Stockwell",22
656,51.5266,-0.1124,"Margery Street, Clerkenwell",15
292,51.4991,-0.112,"Lambeth North Station, Waterloo",21
258,51.5159,-0.1118,"Breams Buildings, Holborn",0
45,51.5333,-0.1118,"Risinghill Street, Angel",15
385,51.5056,-0.1116,"Stamford Street, South Bank",0
478,51.4796,-0.1115,"Cranmer Road, Stockwell",12
41,51.4889,-0.1114,"Kennington Cross, Kennington",12
367,51.5143,-0.1113,"Chancery Lane, Holborn",0
691,51.4937,-0.111,"Walnut Tree Walk, Vauxhall",12
117,51.4957,-0.1109,"Kennington Road  , Vauxhall",21
290,51.5014,-0.1107,"Baylis Road, Waterloo",21
767,51.4848,-0.1107,"Kennington Road Post Office, Oval",12
289,51.4881,-0.1101,"Cleaver Street, Kennington",12
11,51.5292,-0.11,"River Street , Clerkenwell",15
31,51.4978,-0.1099,"King Edward Walk, Waterloo",21
513,51.5317,-0.1099,"Claremont Square, Angel",15
3,51.5264,-0.1093,"Tysoe Street, Clerkenwell",15
731,51.5344,-0.109,"Cloudesley Road, Angel",15
403,51.5217,-0.109,"Hatton Wall, Holborn",13
464,51.518,-0.1087,"Holborn Circus, Holborn",13
718,51.5235,-0.1083,"Farringdon Lane, Clerkenwell",13
529,51.511,-0.1083,"Temple Gardens, Temple",0
285,51.5278,-0.1081,"Hardwick Street, Clerkenwell",15
313,51.5174,-0.108,"New Fetter Lane, Holborn",13
201,51.5188,-0.108,"Hatton Garden, Holborn",13
854,51.4984,-0.1079,"Westminster Bridge Road, Elephant & Castle",21
658,51.5138,-0.1079,"Bouverie Street, Temple",13
646,51.5112,-0.1075,"Victoria Embankment, Temple",0
326,51.5119,-0.1073,"Tallis Street, Temple",0
226,51.5345,-0.107,"Liverpool Road (N1 Centre), Angel",15
793,51.508,-0.1068,"Sea Containers, South Bank",0
553,51.5305,-0.1064,"Chadwell Street, Angel",15
92,51.4908,-0.1063,"Cotton Garden Estate, Kennington",21
229,51.5072,-0.1062,"Milroy Walk, South Bank",21
194,51.4961,-0.106,"Geraldine Street, Elephant & Castle",21
826,51.5055,-0.1057,"Colombo Street, Southwark",21
23,51.4889,-0.1056,"Kennington Station, Kennington",21
557,51.5322,-0.1055,"Torrens Street, Angel",15
269,51.504,-0.1053,"Southwark Station 1, Southwark",21
110,51.5151,-0.1053,"St. Bride Street, Holborn",13
399,51.5158,-0.1053,"Stonecutter Street, Holborn",13
295,51.5168,-0.1049,"Farringdon Street, Holborn",13
734,51.504,-0.1048,"Southwark Station 2, Southwark",21
4,51.5284,-0.1047,"St. John Street, Finsbury",13
530,51.5233,-0.1047,"Clerkenwell Green, Clerkenwell",13
32,51.5055,-0.1045,"Blackfriars Road, Southwark",21
613,51.5267,-0.1043,"Finsbury Library , Finsbury",13
509,51.496,-0.1042,"Gaywood  Street, Elephant & Castle",21
819,51.5173,-0.1036,"Snow Hill, Farringdon",13
404,51.5119,-0.1031,"Blackfriars Station, St. Paul's",13
261,51.4987,-0.1031,"LSBU (Borough Road), Elephant & Castle",21
722,51.5067,-0.1031,"Poured Lines, Bankside",21
307,51.4869,-0.103,"Doddington Grove, Kennington",21
596,51.5364,-0.1028,"Islington Green, Angel",15
29,51.5262,-0.1022,"Percival Street, Finsbury",13
203,51.5007,-0.1021,"Webber Street , Southwark",21
386,51.4922,-0.1015,"Hampton Street, Walworth",21
382,51.4965,-0.1014,"Ontario Street, Elephant & Castle",21
486,51.5282,-0.101,"Goswell Road (City Uni), Finsbury",13
199,51.5182,-0.1008,"West Smithfield Rotunda, Farringdon",13
868,51.4989,-0.1004,"Borough Road, Elephant & Castle",21
47,51.5017,-0.1003,"Great Suffolk Street, The Borough",21
487,51.5303,-0.1002,"City Road, Angel",13
813,51.5058,-0.1002,"Bankside Mix, Bankside",21
218,51.5229,-0.1,"Berry Street, Clerkenwell",13
455,51.5327,-0.1,"Graham Street, Angel",13
774,51.4931,-0.0998,"Strata, Elephant & Castle",21
622,51.4934,-0.0997,"Walworth Road, Elephant & Castle",21
560,51.5249,-0.0995,"Sadlers Sports Centre, Finsbury",13
816,51.5125,-0.0991,"Godliman Street, St. Paul's",13
246,51.5154,-0.0989,"Newgate Street , St. Paul's",13
384,51.5067,-0.0989,"Tate Modern, Bankside",21
124,51.5067,-0.0988,"Tate Modern, Bankside",21
568,51.516,-0.0985,"King Edward Street, St Pauls",13
465,51.5037,-0.0985,"Union Street, The Borough",21
73,51.5054,-0.0983,"Southwark Street, Bankside",21
467,51.5052,-0.098,"Lavington Street, Bankside",21
360,51.512,-0.0974,"Queen Victoria Street, St. Paul's",13
787,51.5208,-0.0973,"Aldersgate Street, Barbican",13
81,51.4912,-0.0971,"Wansey Street, Walworth",21
461,51.5294,-0.0971,"Macclesfield Rd, St Lukes",13
811,51.5178,-0.0965,"Museum of London, Barbican",13
268,51.4913,-0.0965,"Walworth Square, Walworth",21
308,51.5074,-0.0964,"New Globe Walk, Bankside",5
790,51.526,-0.0963,"Finsbury Leisure Centre, St. Luke's",13
524,51.4986,-0.0962,"Harper Road, The Borough",21
428,51.523,-0.0949,"Roscoe Street, St. Luke's",13
131,51.5217,-0.0945,"Golden Lane, Barbican",13
453,51.5007,-0.0945,"Borough High Street, The Borough",5
860,51.4822,-0.0943,"Burgess Park Albany Road, Walworth",21
387,51.4968,-0.0939,"Dickens Square, Borough",5
5,51.517,-0.0939,"Wood Street, Guildhall",13
270,51.531,-0.0939,"Wenlock Road , Hoxton",23
238,51.5292,-0.0934,"Windsor Terrace, Hoxton",23
280,51.5336,-0.0932,"Eagle Wharf Road, Hoxton",23
418,51.5157,-0.0931,"The Guildhall, Guildhall",13
306,51.5112,-0.0931,"Queen Street 2, Bank",5
672,51.514,-0.0929,"Cheapside, Bank",13
607,51.5116,-0.0929,"Queen Street 1, Bank",5
347,51.4944,-0.0929,"New Kent Road, The Borough",5
570,51.506,-0.0928,"Park Street, Bankside",5
250,51.5003,-0.0928,"Swan Street, The Borough",5
563,51.4927,-0.0925,"Victory Place, Walworth",5
853,51.52,-0.0922,"Barbican Centre, Barbican",23
429,51.4928,-0.0919,"Victory Place, Walworth",5
591,51.5046,-0.0918,"Hop Exchange, The Borough",5
440,51.4891,-0.0915,"Brandon Street, Walworth",5
177,51.5181,-0.0914,"Fore Street Avenue, Guildhall",23
857,51.5259,-0.0908,"Bath Street, St. Luke's",23
770,51.4915,-0.0902,"Rodney Road , Walworth",5
541,51.5178,-0.0901,"Fore Street, Guildhall",23
584,51.5209,-0.0899,"Bunhill Row, Moorgate",23
618,51.5309,-0.0898,"Murray Grove , Hoxton",23
210,51.5008,-0.0897,"Empire Square, The Borough",5
472,51.4974,-0.0894,"Great Dover Street, The Borough",5
350,51.5257,-0.0885,"Old Street Station, St. Luke's",23
711,51.527,-0.0885,"Baldwin Street, St. Luke's",23
299,51.5191,-0.0883,"Moorfields, Moorgate",23
518,51.5144,-0.0876,"Bank of England Museum, Bank",23
363,51.5287,-0.0875,"East Road, Hoxton",23
145,51.5063,-0.0873,"Duke Street Hill, London Bridge",5
95,51.5171,-0.0867,"Finsbury Circus, Liverpool Street",23
654,51.534,-0.0864,"Shoreditch Park, Hoxton",23
24,51.5311,-0.086,"New North Road 1, Hoxton",23
378,51.4951,-0.0858,"Bricklayers Arms, Borough",5
260,51.4991,-0.0857,"Long Lane , Bermondsey",5
778,51.531,-0.0856,"New North Road 1, Hoxton",23
766,51.5309,-0.0856,"New North Road 1, Hoxton",23
555,51.521,-0.0856,"Finsbury Square , Moorgate",23
807,51.5096,-0.085,"Monument Street, Monument",5
468,51.5093,-0.085,"Lower Thames Street, Monument",5
554,51.5213,-0.0846,"Christopher Street, Liverpool Street",23
312,51.5247,-0.0844,"Leonard Circus , Shoreditch",23
846,51.52,-0.0839,"Pindar Street, Liverpool Street",23
855,51.5022,-0.0836,"Snowsfields, London Bridge",5
581,51.521,-0.0835,"Pindar Street, Liverpool Street",23
832,51.5295,-0.0834,"Fanshaw Street, Hoxton",23
821,51.5009,-0.0832,"Tyers Gate, Bermondsey",5
256,51.5232,-0.0831,"Clifton Street, Shoreditch",23
535,51.5321,-0.083,"Pitfield Street (North), Hoxton",23
137,51.5105,-0.083,"Great Tower Street, Monument",5
183,51.5356,-0.0825,"Pitfield Street North,Hoxton",23
842,51.5162,-0.0824,"Wormwood Street, Liverpool Street",23
85,51.4979,-0.0816,"Bermondsey Station, Bermondsey",5
769,51.5217,-0.0811,"Appold Street, Liverpool Street",23
551,51.5142,-0.0807,"St. Mary Axe, Aldgate",23
511,51.5296,-0.0801,"Hoxton Street, Hoxton",23
471,51.5165,-0.0797,"Devonshire Square, Liverpool Street",23
130,51.5035,-0.0796,"Tooley Street, Bermondsey",5
635,51.5373,-0.0792,"Hertford Road, De Beauvoir Town",2
538,51.5245,-0.0792,"New Inn Yard, Shoreditch",23
521,51.5189,-0.0792,"Brushfield Street, Liverpool Street",23
445,51.4956,-0.0789,"Crimscott Street, Bermondsey",5
519,51.5211,-0.0789,"Norton Folgate, Liverpool Street",23
316,51.5031,-0.0787,"One Tower Bridge, Bermondsey",5
483,51.5006,-0.0786,"Tanner Street, Bermondsey",5
304,51.531,-0.0785,"Falkirk Street, Hoxton",2
636,51.5264,-0.0781,"Shoreditch High Street, Shoreditch",23
657,51.5144,-0.0772,"Houndsditch, Aldgate",23
795,51.5116,-0.0771,"Crosswall, Tower",20
611,51.5134,-0.0768,"Jewry Street, Aldgate",23
281,51.5345,-0.0763,"Whiston Road, Haggerston",2
498,51.5366,-0.0759,"Dunston Road , Haggerston",2
248,51.5311,-0.0759,"Hoxton Station, Haggerston",2
676,51.5175,-0.0759,"Bell Lane, Liverpool Street",23
606,51.5213,-0.0756,"Commercial Street, Shoreditch",23
603,51.5095,-0.0755,"Tower Gardens , Tower",20
217,51.5282,-0.0754,"Columbia Road, Shoreditch",2
738,51.5236,-0.0748,"Bethnal Green Road, Shoreditch",23
707,51.5008,-0.0747,"Tower Wharf, Bermondsey",20
675,51.5194,-0.0744,"Fournier Street, Whitechapel",23
665,51.5393,-0.0743,"Haggerston Road, Haggerston",2
71,51.5023,-0.0742,"Curlew Street, Shad Thames",20
28,51.5263,-0.074,"Palissy Street, Shoreditch",2
241,51.5142,-0.0735,"Braham Street, Aldgate",20
643,51.5184,-0.0734,"Fashion Street, Whitechapel",23
727,51.4927,-0.0724,"Harris Academy, Bermondsey",20
349,51.5348,-0.0719,"Thurtle Road, Haggerston",2
561,51.5226,-0.0717,"Brick Lane Market, Bangla Town",2
744,51.5057,-0.0705,"St KatharineÂ’s Way, Tower",20
823,51.5391,-0.0703,"Shoreditch Court, Haggerston",2
22,51.5367,-0.0702,"Belford House, Haggerston",2
601,51.5156,-0.0701,"Central House, Aldgate",20
128,51.5339,-0.0699,"Queensbridge Road, Haggerston",2
814,51.5282,-0.0697,"Wellington Row, Bethnal Green",2
158,51.5124,-0.0695,"Leman Street, Aldgate",20
255,51.5256,-0.0695,"Granby Street, Shoreditch",2
211,51.4986,-0.069,"George Row, Bermondsey",20
163,51.5218,-0.0689,"Buxton Street 1, Shoreditch",2
528,51.5049,-0.068,"Wapping High Street, Wapping",20
37,51.5179,-0.0679,"Old Montague Street, Whitechapel",20
364,51.5168,-0.0678,"Altab Ali Park, Whitechapel",20
409,51.5084,-0.0672,"Dock Street, Wapping",20
60,51.5071,-0.0669,"Nesham Street, Wapping",20
865,51.5149,-0.0661,"LMU Commercial Road, Whitechapel",20
550,51.5319,-0.066,"Goldsmith's Row, Haggerston",2
491,51.5287,-0.0656,"Durant Street, Bethnal Green",2
361,51.5239,-0.0651,"Cheshire Street, Bethnal Green",2
366,51.5086,-0.065,"Pennington Street, Wapping",20
839,51.5131,-0.0641,"Christian Street, Whitechapel",20
383,51.5047,-0.0635,"Hermitage Court, Wapping",20
632,51.498,-0.0635,"Bermondsey Station, Bermondsey",20
222,51.5219,-0.0634,"Selby Street, Whitechapel",14
249,51.5181,-0.0628,"New Road  2, Whitechapel",14
76,51.5398,-0.0628,"Lansdowne Drive, Hackney Central",2
621,51.5182,-0.0627,"New Road 1 , Whitechapel",14
637,51.4922,-0.0625,"The Blue, Bermondsey",20
78,51.5357,-0.0625,"Regent's Row , Haggerston",2
810,51.4954,-0.0617,"Clements Road, Bermondsey",20
411,51.5321,-0.0614,"Pritchard's Road, Bethnal Green",2
784,51.5357,-0.0603,"Ada Street, Hackney Central",2
612,51.5191,-0.0596,"Royal London Hospital, Whitechapel",14
425,51.5287,-0.0591,"Clarkson Street, Bethnal Green",14
664,51.5412,-0.0588,"London Fields, Hackney Central",2
200,51.5069,-0.0587,"Reardon Street, Wapping",20
166,51.5153,-0.0586,"Philpot Street, Whitechapel",14
127,51.5246,-0.0586,"Finnis Street, Bethnal Green",14
381,51.5272,-0.058,"Pott Street, Bethnal Green",14
291,51.4881,-0.0578,"South Bermondsey Station, Bermondsey",20
833,51.5047,-0.0575,"Wapping Lane, Wapping",20
402,51.5111,-0.0572,"Shadwell Station, Shadwell",20
82,51.5276,-0.0571,"Hollybush Gardens, Bethnal Green",14
599,51.5115,-0.0567,"Watney Street, Shadwell",14
282,51.5289,-0.0559,"York Hall, Bethnal Green",14
140,51.4992,-0.0558,"Rotherhithe Roundabout, Rotherhithe",20
267,51.5198,-0.0557,"Ansell House, Stepney",14
155,51.5142,-0.0557,"Watney Market, Stepney",14
598,51.5257,-0.0553,"Bethnal Green Garden, Bethnal Green",14
552,51.5084,-0.0552,"Garnet Street, Shadwell",20
867,51.5226,-0.0549,"Cephas Street, Bethnal Green",14
835,51.5364,-0.0542,"Victoria Park Road, Hackney Central",14
278,51.5111,-0.0536,"Sutton Street, Shadwell",14
276,51.516,-0.0532,"Jubilee Street, Stepney",14
293,51.5142,-0.0521,"St. Mary & St. Michael Church, Stepney",14
673,51.5209,-0.0514,"Cleveland Way, Bethnal Green",14
799,51.5334,-0.0496,"Bonner Gate, Victoria Park",14
273,51.4984,-0.0492,"Canada Water Station, Rotherhithe",20
850,51.5156,-0.0491,"Aylward Street, Stepney",14
87,51.5311,-0.048,"Old Ford Road, Bethnal Green",14
330,51.5133,-0.0478,"Albert Gardens, Stepney",14
435,51.5289,-0.0475,"Globe Town Market, Bethnal Green",14
287,51.526,-0.0472,"Bancroft Road, Bethnal Green",14
745,51.5219,-0.0467,"Stepney Green Station, Stepney",14
30,51.5184,-0.0434,"Rectory Square, Stepney",14
221,51.5303,-0.0427,"Twig Folly Bridge, Mile End",18
19,51.5225,-0.0414,"Queen Mary's, Mile End",18
827,51.5216,-0.0393,"Harford Street, Mile End",18
719,51.5129,-0.039,"Flamborough Street, Limehouse",18
182,51.516,-0.0388,"Aston Street, Stepney",18
189,51.5415,-0.0386,"Gascoyne Road, Victoria Park",18
448,51.5282,-0.0375,"Antill Road, Mile End",18
407,51.5341,-0.0374,"Driffield Road, Old Ford",18
753,51.5259,-0.036,"Clinton Road, Mile End",18
322,51.5247,-0.0356,"The Green Bridge, Mile End",18
414,51.5185,-0.0349,"Mile End Stadium, Mile End",18
234,51.5141,-0.0338,"Salmon Lane, Limehouse",18
48,51.5352,-0.0334,"Gunmakers Lane, Old Ford",18
756,51.5325,-0.0331,"Ford Road, Old Ford",18
847,51.5206,-0.0326,"Mile End Park Leisure Centre, Mile End",18
641,51.5255,-0.0323,"Maplin Street, Mile End",18
682,51.5235,-0.0306,"Southern Grove, Bow",18
780,51.5162,-0.0291,"Burdett Road, Mile End",18
763,51.5421,-0.0289,"Cadogan Close, Victoria Park",8
848,51.5265,-0.0286,"Coborn Street, Bow",18
343,51.5333,-0.0282,"Hewison Street, Old Ford",18
359,51.5057,-0.0278,"Westferry Circus, Canary Wharf",3
423,51.5295,-0.0276,"Malmesbury Road, Bow",18
219,51.5261,-0.0274,"Merchant Street, Bow",18
111,51.5204,-0.0268,"Ackroyd Drive, Bow",18
388,51.536,-0.0263,"Wendon Street, Old Ford",18
50,51.5093,-0.026,"Westferry DLR, Limehouse",3
215,51.5118,-0.0256,"Canton Street, Poplar",3
362,51.5305,-0.0255,"Mostyn Grove, Bow",18
104,51.5271,-0.0253,"Bow Road Station, Bow",18
103,51.5098,-0.0238,"Thornfield House, Poplar",3
65,51.5154,-0.0236,"Stainsby Road , Poplar",18
781,51.5062,-0.023,"Fisherman's Walk West, Canary Wharf",3
862,51.4973,-0.0228,"Alpha Grove, Millwall",3
504,51.5216,-0.0227,"Cantrell Road, Bow",18
708,51.5026,-0.0227,"South Quay West, Canary Wharf",3
288,51.5487,-0.0226,"Here East North, Queen Elizabeth Olympic Park",8
670,51.5027,-0.0216,"Heron Quays DLR, Canary Wharf",3
758,51.4877,-0.0216,"Napier Avenue, Millwall",3
224,51.5403,-0.0216,"Monier Road, Hackney Wick",8
748,51.5193,-0.0213,"Furze Green, Bow",18
797,51.5465,-0.0206,"Here East South, Here East",8
615,51.5138,-0.0205,"Lindfield Street, Poplar",3
710,51.499,-0.0202,"Lightermans Road, Millwall",3
614,51.5036,-0.0201,"Jubilee Plaza, Canary Wharf",3
122,51.5448,-0.0195,"Copper Box Arena, Queen Elizabeth Olympic Park",8
380,51.4961,-0.0194,"Millharbour, Millwall",3
303,51.4911,-0.0187,"Spindrift Avenue, Millwall",3
180,51.5282,-0.0187,"Bow Church Station, Bow",18
576,51.5031,-0.0177,"Upper Bank Street, Canary Wharf",3
170,51.5058,-0.0165,"Import Dock, Canary Wharf",3
56,51.502,-0.0163,"South Quay East, Canary Wharf",3
58,51.5034,-0.0162,"Montgomery Square, Canary Wharf",3
159,51.5494,-0.0157,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",8
126,51.5251,-0.0156,"Devons Road, Bow",18
545,51.5468,-0.0147,"Timber Lodge, Queen Elizabeth Olympic Park",8
773,51.4906,-0.0146,"Mudchute DLR, Cubitt Town",3
628,51.4945,-0.0144,"East Ferry Road, Cubitt Town",3
759,51.5112,-0.0144,"Chrisp Street Market, Poplar",3
629,51.5047,-0.0143,"Churchill Place, Canary Wharf",3
262,51.5155,-0.0135,"Langdon Park, Poplar",3
142,51.5288,-0.0133,"Bromley High Street, Bow",8
298,51.5089,-0.0124,"Newby Place, Poplar",3
240,51.5387,-0.0119,"Podium, Queen Elizabeth Olympic Park",8
728,51.5188,-0.0117,"Teviot Street, Poplar",3
59,51.4981,-0.0115,"Castalia Square, Cubitt Town",3
818,51.5409,-0.0105,"Aquatic Centre, Queen Elizabeth Olympic Park",8
520,51.5463,-0.0099,"East Village, Queen Elizabeth Olympic Park",8
655,51.4965,-0.0095,"St John's Park, Cubitt Town",3
320,51.4891,-0.0092,"Stebondale Street, Cubitt Town",3
43,51.4993,-0.0092,"Preston's Road, Cubitt Town",3
395,51.4871,-0.009,"Saunders Ness Road, Cubitt Town",3
213,51.5031,-0.0084,"Lancaster Drive, Blackwall",3
579,51.4934,-0.0075,"Jubilee Crescent, Cubitt Town",3
18,51.509,-0.007,"Naval Row, Blackwall",3
505,51.5135,-0.0057,"Aberfeldy Street, Poplar",3
195,51.5418,-0.0048,"Stratford Station, Queen Elizabeth Olympic Park",8
764,51.5095,-0.0023,"East India DLR, Blackwall",3
